Date,Abertura,Maxima,Minima,Fechamento,Fechamento_Ajustado,Volume,Dividendos,Desdobramentos
2019-01-02,87887.0,91479.0,87536.0,91012.0,0.0,5615400,0.0,0.0
2019-01-03,91011.0,91596.0,89922.0,91564.0,0.0,6066200,0.0,0.0
2019-01-04,91577.0,92701.0,90824.0,91841.0,0.0,5322100,0.0,0.0
2019-01-07,91845.0,92552.0,91288.0,91699.0,0.0,4565000,0.0,0.0
2019-01-08,91699.0,92231.0,91064.0,92032.0,0.0,4496500,0.0,0.0
2019-01-09,92033.0,93626.0,92028.0,93613.0,0.0,5011400,0.0,0.0
2019-01-10,93599.0,93987.0,93050.0,93806.0,0.0,4840600,0.0,0.0
2019-01-11,93806.0,93961.0,93359.0,93658.0,0.0,5330500,0.0,0.0
2019-01-14,93645.0,94474.0,93335.0,94474.0,0.0,4486900,0.0,0.0
2019-01-15,94474.0,94695.0,93402.0,94056.0,0.0,4836400,0.0,0.0
2019-01-16,94057.0,94393.0,93687.0,94393.0,0.0,4257400,0.0,0.0
2019-01-17,94393.0,95682.0,93950.0,95351.0,0.0,4944200,0.0,0.0
2019-01-18,95386.0,96396.0,95386.0,96097.0,0.0,4884000,0.0,0.0
2019-01-21,96093.0,96093.0,94863.0,96010.0,0.0,2717600,0.0,0.0
2019-01-22,96008.0,96070.0,94662.0,95103.0,0.0,4256000,0.0,0.0
2019-01-23,95116.0,96576.0,95116.0,96558.0,0.0,0,0.0,0.0
2019-01-24,96558.0,97677.0,96558.0,97677.0,0.0,5019400,0.0,0.0
2019-01-28,97674.0,97937.0,94783.0,95444.0,0.0,7185300,0.0,0.0
2019-01-29,95508.0,96751.0,95508.0,95639.0,0.0,5262000,0.0,0.0
2019-01-30,95643.0,97107.0,95643.0,96996.0,0.0,6164400,0.0,0.0
2019-01-31,96996.0,98405.0,96996.0,97394.0,0.0,5976000,0.0,0.0
2019-02-01,97395.0,98044.0,96990.0,97861.0,0.0,4301600,0.0,0.0
2019-02-04,97861.0,98589.0,96901.0,98589.0,0.0,4278300,0.0,0.0
2019-02-05,98587.0,98587.0,97596.0,98311.0,0.0,4773700,0.0,0.0
2019-02-06,98308.0,98308.0,94636.0,94636.0,0.0,5458200,0.0,0.0
2019-02-07,94654.0,95642.0,93507.0,94406.0,0.0,5612500,0.0,0.0
2019-02-08,94401.0,95486.0,93424.0,95343.0,0.0,5302500,0.0,0.0
2019-02-11,95351.0,95499.0,93737.0,94413.0,0.0,3767300,0.0,0.0
2019-02-12,94420.0,96571.0,94420.0,96168.0,0.0,4915000,0.0,0.0
2019-02-13,96169.0,96804.0,95389.0,95842.0,0.0,5814400,0.0,0.0
2019-02-14,95843.0,98019.0,94915.0,98015.0,0.0,5222300,0.0,0.0
2019-02-15,98015.0,98238.0,97083.0,97526.0,0.0,4586300,0.0,0.0
2019-02-18,97527.0,97527.0,96239.0,96510.0,0.0,2837100,0.0,0.0
2019-02-19,96513.0,98185.0,96513.0,97659.0,0.0,4830600,0.0,0.0
2019-02-20,97661.0,98544.0,96545.0,96545.0,0.0,5906800,0.0,0.0
2019-02-21,96546.0,97231.0,95793.0,96932.0,0.0,5814100,0.0,0.0
2019-02-22,96929.0,97887.0,96929.0,97886.0,0.0,4426600,0.0,0.0
2019-02-25,97881.0,98190.0,97087.0,97240.0,0.0,4360000,0.0,0.0
2019-02-26,97242.0,97904.0,97235.0,97603.0,0.0,3555100,0.0,0.0
2019-02-27,97603.0,97782.0,96886.0,97307.0,0.0,3873500,0.0,0.0
2019-02-28,97307.0,97528.0,95364.0,95584.0,0.0,5365700,0.0,0.0
2019-03-01,95584.0,96113.0,94394.0,94604.0,0.0,4054700,0.0,0.0
2019-03-06,94604.0,94889.0,93945.0,94217.0,0.0,2715300,0.0,0.0
2019-03-07,94216.0,94532.0,93729.0,94340.0,0.0,4104300,0.0,0.0
2019-03-08,94340.0,95476.0,93305.0,95365.0,0.0,4054200,0.0,0.0
2019-03-11,95384.0,98027.0,95384.0,98027.0,0.0,4251500,0.0,0.0
2019-03-12,98038.0,98150.0,97267.0,97828.0,0.0,3832900,0.0,0.0
2019-03-13,97831.0,99267.0,97464.0,98904.0,0.0,4812100,0.0,0.0
2019-03-14,98905.0,99036.0,97776.0,98605.0,0.0,3584500,0.0,0.0
2019-03-15,98605.0,99393.0,98597.0,99137.0,0.0,5136400,0.0,0.0
2019-03-18,99141.0,100038.0,99141.0,99994.0,0.0,4204100,0.0,0.0
2019-03-19,99991.0,100439.0,99373.0,99588.0,0.0,5231100,0.0,0.0
2019-03-20,99588.0,99708.0,97981.0,98041.0,0.0,4633200,0.0,0.0
2019-03-21,98041.0,98046.0,95456.0,96729.0,0.0,5321200,0.0,0.0
2019-03-22,96725.0,96725.0,93380.0,93735.0,0.0,6001100,0.0,0.0
2019-03-25,93735.0,94384.0,93103.0,93662.0,0.0,4508400,0.0,0.0
2019-03-26,93668.0,95525.0,93668.0,95307.0,0.0,4660700,0.0,0.0
2019-03-27,95297.0,95297.0,91903.0,91903.0,0.0,5726900,0.0,0.0
2019-03-28,91901.0,94854.0,91584.0,94389.0,0.0,5192300,0.0,0.0
2019-03-29,94402.0,95863.0,94402.0,95415.0,0.0,4674600,0.0,0.0
2019-04-01,95423.0,96752.0,95423.0,96054.0,0.0,3753500,0.0,0.0
2019-04-02,96062.0,96690.0,94825.0,95387.0,0.0,3713200,0.0,0.0
2019-04-03,95392.0,96442.0,94124.0,94491.0,0.0,4308900,0.0,0.0
2019-04-04,94503.0,96394.0,94334.0,96313.0,0.0,4086200,0.0,0.0
2019-04-05,96319.0,97493.0,96152.0,97108.0,0.0,3689000,0.0,0.0
2019-04-08,97110.0,97610.0,96743.0,97369.0,0.0,3430800,0.0,0.0
2019-04-09,97366.0,97366.0,95488.0,96292.0,0.0,3733400,0.0,0.0
2019-04-10,96292.0,96902.0,95670.0,95953.0,0.0,4574600,0.0,0.0
2019-04-11,95954.0,95954.0,94173.0,94755.0,0.0,3530500,0.0,0.0
2019-04-12,94747.0,94768.0,92516.0,92875.0,0.0,6712200,0.0,0.0
2019-04-15,92875.0,93723.0,92697.0,93083.0,0.0,4629800,0.0,0.0
2019-04-16,93082.0,95062.0,92879.0,94333.0,0.0,4581600,0.0,0.0
2019-04-17,94337.0,95042.0,92338.0,93285.0,0.0,6458600,0.0,0.0
2019-04-18,93285.0,95140.0,93285.0,94578.0,0.0,4933300,0.0,0.0
2019-04-22,94578.0,95038.0,93721.0,94588.0,0.0,3176600,0.0,0.0
2019-04-23,94590.0,96315.0,94590.0,95923.0,0.0,4309100,0.0,0.0
2019-04-24,95923.0,95923.0,94163.0,95045.0,0.0,4658800,0.0,0.0
2019-04-25,95027.0,96552.0,94213.0,96552.0,0.0,4878200,0.0,0.0
2019-04-26,96552.0,96563.0,95620.0,96236.0,0.0,3767100,0.0,0.0
2019-04-29,96254.0,97123.0,96004.0,96188.0,0.0,3225400,0.0,0.0
2019-04-30,96191.0,96707.0,95613.0,96353.0,0.0,4228600,0.0,0.0
2019-05-02,96339.0,96339.0,95312.0,95528.0,0.0,3863600,0.0,0.0
2019-05-03,95521.0,96315.0,95521.0,96008.0,0.0,4014800,0.0,0.0
2019-05-06,95992.0,95992.0,94540.0,95009.0,0.0,3216000,0.0,0.0
2019-05-07,95009.0,95009.0,92750.0,94389.0,0.0,4907400,0.0,0.0
2019-05-08,94389.0,96312.0,94389.0,95597.0,0.0,4916500,0.0,0.0
2019-05-09,95597.0,95597.0,93883.0,94808.0,0.0,4152200,0.0,0.0
2019-05-10,94809.0,94848.0,93234.0,94258.0,0.0,4097900,0.0,0.0
2019-05-13,94252.0,94252.0,91600.0,91727.0,0.0,4662600,0.0,0.0
2019-05-14,91736.0,92529.0,91562.0,92092.0,0.0,4045400,0.0,0.0
2019-05-15,92088.0,92088.0,90295.0,91623.0,0.0,4791900,0.0,0.0
2019-05-16,91622.0,91622.0,89778.0,90024.0,0.0,5570000,0.0,0.0
2019-05-17,90023.0,91321.0,89409.0,89993.0,0.0,5342700,0.0,0.0
2019-05-20,90006.0,92117.0,89822.0,91946.0,0.0,4620000,0.0,0.0
2019-05-21,91946.0,94573.0,91946.0,94485.0,0.0,5397000,0.0,0.0
2019-05-22,94485.0,95212.0,93883.0,94361.0,0.0,4232500,0.0,0.0
2019-05-23,94360.0,94547.0,93300.0,93910.0,0.0,3787800,0.0,0.0
2019-05-24,93912.0,94900.0,93545.0,93628.0,0.0,3484700,0.0,0.0
2019-05-27,93626.0,95444.0,93626.0,94864.0,0.0,2544800,0.0,0.0
2019-05-28,94863.0,96552.0,94707.0,96393.0,0.0,6383100,0.0,0.0
2019-05-29,96389.0,96986.0,95690.0,96567.0,0.0,4559100,0.0,0.0
2019-05-30,96566.0,97939.0,96511.0,97457.0,0.0,4398200,0.0,0.0
2019-05-31,97420.0,97992.0,96792.0,97030.0,0.0,5089500,0.0,0.0
2019-06-03,97036.0,97757.0,96430.0,97020.0,0.0,4547900,0.0,0.0
2019-06-04,97020.0,97723.0,96593.0,97380.0,0.0,4293300,0.0,0.0
2019-06-05,97381.0,97686.0,95686.0,95999.0,0.0,3769100,0.0,0.0
2019-06-06,96002.0,97462.0,96002.0,97205.0,0.0,4054900,0.0,0.0
2019-06-07,97205.0,98326.0,97205.0,97821.0,0.0,3718500,0.0,0.0
2019-06-10,97828.0,97856.0,96782.0,97467.0,0.0,3584000,0.0,0.0
2019-06-11,97467.0,98985.0,97467.0,98960.0,0.0,4922400,0.0,0.0
2019-06-12,98960.0,99240.0,97831.0,98321.0,0.0,4948800,0.0,0.0
2019-06-13,98321.0,99364.0,98321.0,98774.0,0.0,5594000,0.0,0.0
2019-06-14,98776.0,98981.0,97601.0,98040.0,0.0,9184900,0.0,0.0
2019-06-17,98038.0,98439.0,97623.0,97623.0,0.0,3926300,0.0,0.0
2019-06-18,97633.0,99412.0,97633.0,99404.0,0.0,4524500,0.0,0.0
2019-06-19,99403.0,100327.0,98978.0,100303.0,0.0,4411300,0.0,0.0
2019-06-21,100305.0,102100.0,100305.0,102013.0,0.0,5490800,0.0,0.0
2019-06-24,102018.0,102617.0,101589.0,102062.0,0.0,3559800,0.0,0.0
2019-06-25,102061.0,102061.0,99890.0,100093.0,0.0,4469200,0.0,0.0
2019-06-26,100095.0,101126.0,100095.0,100689.0,0.0,5013800,0.0,0.0
2019-06-27,100689.0,101025.0,99421.0,100724.0,0.0,4154700,0.0,0.0
2019-06-28,100726.0,101563.0,100726.0,100967.0,0.0,4079900,0.0,0.0
2019-07-01,100973.0,102432.0,100973.0,101340.0,0.0,411600,0.0,0.0
2019-07-02,101342.0,101565.0,100073.0,100605.0,0.0,4951600,0.0,0.0
2019-07-03,100576.0,102177.0,100451.0,102043.0,0.0,4801200,0.0,0.0
2019-07-04,102047.0,104022.0,102047.0,103636.0,0.0,3978700,0.0,0.0
2019-07-05,103628.0,104176.0,102622.0,104089.0,0.0,4208400,0.0,0.0
2019-07-08,104090.0,104679.0,103988.0,104530.0,0.0,3500300,0.0,0.0
2019-07-10,104537.0,106650.0,104537.0,105817.0,0.0,6815700,0.0,0.0
2019-07-11,105818.0,105886.0,104814.0,105146.0,0.0,4845300,0.0,0.0
2019-07-12,105158.0,105731.0,103903.0,103906.0,0.0,4748000,0.0,0.0
2019-07-15,103909.0,104578.0,103495.0,103803.0,0.0,3995500,0.0,0.0
2019-07-16,103805.0,104440.0,103361.0,103775.0,0.0,4475800,0.0,0.0
2019-07-17,103775.0,104453.0,103712.0,103856.0,0.0,3818300,0.0,0.0
2019-07-18,103859.0,104773.0,103859.0,104717.0,0.0,4410900,0.0,0.0
2019-07-19,104716.0,104723.0,103388.0,103452.0,0.0,3484400,0.0,0.0
2019-07-22,103452.0,104278.0,103452.0,103949.0,0.0,3464400,0.0,0.0
2019-07-23,103949.0,104430.0,103518.0,103704.0,0.0,4050300,0.0,0.0
2019-07-24,103707.0,104570.0,103707.0,104120.0,0.0,4872700,0.0,0.0
2019-07-25,102991.0,103464.0,102390.0,102655.0,0.0,5804700,0.0,0.0
2019-07-26,102654.0,103209.0,102196.0,102819.0,0.0,5141400,0.0,0.0
2019-07-29,102817.0,103483.0,102461.0,103483.0,0.0,3559900,0.0,0.0
2019-07-30,103483.0,103555.0,102596.0,102933.0,0.0,4060500,0.0,0.0
2019-07-31,102946.0,103129.0,100950.0,101812.0,0.0,5072900,0.0,0.0
2019-08-01,101819.0,104056.0,101819.0,102126.0,0.0,7129100,0.0,0.0
2019-08-02,102122.0,103180.0,101667.0,102674.0,0.0,4923500,0.0,0.0
2019-08-05,102658.0,102658.0,99630.0,100098.0,0.0,5000400,0.0,0.0
2019-08-06,100098.0,102178.0,100098.0,102164.0,0.0,5074800,0.0,0.0
2019-08-07,102163.0,102784.0,100476.0,102782.0,0.0,5570600,0.0,0.0
2019-08-08,102811.0,104282.0,102811.0,104115.0,0.0,5538300,0.0,0.0
2019-08-09,104102.0,104848.0,103547.0,103996.0,0.0,4549300,0.0,0.0
2019-08-12,103946.0,103946.0,101621.0,101915.0,0.0,4509700,0.0,0.0
2019-08-13,101912.0,103778.0,101414.0,103299.0,0.0,5198900,0.0,0.0
2019-08-14,103270.0,103270.0,99955.0,100258.0,0.0,6485200,0.0,0.0
2019-08-15,100262.0,101014.0,98200.0,99057.0,0.0,6585300,0.0,0.0
2019-08-16,99059.0,100567.0,99059.0,99806.0,0.0,5483400,0.0,0.0
2019-08-19,99810.0,100948.0,98908.0,99469.0,0.0,4924000,0.0,0.0
2019-08-20,99472.0,99665.0,98002.0,99222.0,0.0,5235200,0.0,0.0
2019-08-21,99227.0,101240.0,99221.0,101202.0,0.0,5969700,0.0,0.0
2019-08-22,101209.0,101469.0,100011.0,100011.0,0.0,4495500,0.0,0.0
2019-08-23,100007.0,100025.0,97085.0,97667.0,0.0,5668800,0.0,0.0
2019-08-26,97687.0,98436.0,95961.0,96430.0,0.0,4136800,0.0,0.0
2019-08-27,96434.0,97951.0,95855.0,97276.0,0.0,6581700,0.0,0.0
2019-08-28,97273.0,98346.0,96557.0,98194.0,0.0,4350800,0.0,0.0
2019-08-29,98194.0,100684.0,98194.0,100524.0,0.0,5163300,0.0,0.0
2019-08-30,100526.0,101551.0,100526.0,101135.0,0.0,6109600,0.0,0.0
2019-09-02,101133.0,101611.0,100626.0,100626.0,0.0,2685400,0.0,0.0
2019-09-03,100626.0,101417.0,99406.0,99681.0,0.0,0,0.0,0.0
2019-09-04,99706.0,101201.0,99706.0,101201.0,0.0,4310700,0.0,0.0
2019-09-05,101204.0,103258.0,101204.0,102243.0,0.0,4814300,0.0,0.0
2019-09-06,102247.0,103182.0,102246.0,102935.0,0.0,3976000,0.0,0.0
2019-09-09,102937.0,104260.0,102793.0,103181.0,0.0,5516800,0.0,0.0
2019-09-10,103180.0,103503.0,102231.0,103032.0,0.0,5478900,0.0,0.0
2019-09-11,103036.0,104156.0,103036.0,103446.0,0.0,4877000,0.0,0.0
2019-09-12,104389.0,104618.0,103733.0,104371.0,0.0,4962500,0.0,0.0
2019-09-13,104371.0,104699.0,103275.0,103501.0,0.0,4039400,0.0,0.0
2019-09-16,103496.0,104005.0,102782.0,103680.0,0.0,6038700,0.0,0.0
2019-09-17,103680.0,104619.0,103079.0,104617.0,0.0,4574900,0.0,0.0
2019-09-18,104616.0,104762.0,103684.0,104532.0,0.0,3882100,0.0,0.0
2019-09-19,104555.0,106001.0,104286.0,104339.0,0.0,4915800,0.0,0.0
2019-09-20,104339.0,105045.0,103914.0,104817.0,0.0,6769100,0.0,0.0
2019-09-23,104817.0,104817.0,104020.0,104638.0,0.0,6769100,0.0,0.0
2019-09-24,104638.0,104893.0,103504.0,103876.0,0.0,3972200,0.0,0.0
2019-09-25,103857.0,104481.0,103034.0,104481.0,0.0,4117500,0.0,0.0
2019-09-26,104485.0,105342.0,104337.0,105319.0,0.0,4138700,0.0,0.0
2019-09-27,105319.0,105633.0,104506.0,105078.0,0.0,3471200,0.0,0.0
2019-09-30,105077.0,105178.0,104638.0,104745.0,0.0,3895800,0.0,0.0
2019-10-01,104745.0,105121.0,103837.0,104053.0,0.0,4095700,0.0,0.0
2019-10-02,104049.0,104049.0,100944.0,101031.0,0.0,5066200,0.0,0.0
2019-10-03,101031.0,101560.0,99826.0,101516.0,0.0,4665600,0.0,0.0
2019-10-04,101516.0,102580.0,101057.0,102551.0,0.0,4649400,0.0,0.0
2019-10-07,102546.0,102546.0,100542.0,100573.0,0.0,3938300,0.0,0.0
2019-10-08,100565.0,101296.0,99868.0,99981.0,0.0,4342700,0.0,0.0
2019-10-09,100005.0,101567.0,100005.0,101249.0,0.0,3939000,0.0,0.0
2019-10-10,101244.0,102483.0,101152.0,101817.0,0.0,4373100,0.0,0.0
2019-10-11,101819.0,104381.0,101819.0,103832.0,0.0,4351800,0.0,0.0
2019-10-14,103834.0,104305.0,103438.0,104302.0,0.0,2987900,0.0,0.0
2019-10-15,104299.0,105048.0,104052.0,104490.0,0.0,4093400,0.0,0.0
2019-10-16,104486.0,105462.0,103521.0,105423.0,0.0,4509400,0.0,0.0
2019-10-17,105389.0,105891.0,104827.0,105016.0,0.0,4189000,0.0,0.0
2019-10-18,105012.0,105464.0,104525.0,104729.0,0.0,4478100,0.0,0.0
2019-10-21,104729.0,106027.0,104696.0,106022.0,0.0,3504900,0.0,0.0
2019-10-22,107101.0,107382.0,107076.0,107381.0,0.0,5224900,0.0,0.0
2019-10-23,107381.0,107959.0,107041.0,107544.0,0.0,4656200,0.0,0.0
2019-10-24,107553.0,107744.0,106593.0,106986.0,0.0,5619200,0.0,0.0
2019-10-25,106990.0,108083.0,106990.0,107364.0,0.0,5398900,0.0,0.0
2019-10-28,107366.0,108393.0,107362.0,108187.0,0.0,3967200,0.0,0.0
2019-10-29,108189.0,108195.0,107313.0,107556.0,0.0,4313200,0.0,0.0
2019-10-30,107557.0,108408.0,106622.0,108408.0,0.0,5450600,0.0,0.0
2019-10-31,108403.0,108403.0,106356.0,107220.0,0.0,5376000,0.0,0.0
2019-11-01,107221.0,108496.0,107220.0,108196.0,0.0,5466300,0.0,0.0
2019-11-04,108196.0,109352.0,108196.0,108601.0,0.0,5182200,0.0,0.0
2019-11-05,108779.0,109343.0,108253.0,108451.0,0.0,5657600,0.0,0.0
2019-11-06,108719.0,109633.0,107446.0,108336.0,0.0,5505500,0.0,0.0
2019-11-07,108360.0,109672.0,108360.0,109581.0,0.0,6075600,0.0,0.0
2019-11-08,109572.0,109572.0,107127.0,107629.0,0.0,5419600,0.0,0.0
2019-11-11,107622.0,108263.0,106814.0,108215.0,0.0,3928900,0.0,0.0
2019-11-12,108368.0,108368.0,106232.0,106785.0,0.0,5219300,0.0,0.0
2019-11-13,106751.0,106786.0,105261.0,105914.0,0.0,5339000,0.0,0.0
2019-11-14,106052.0,106758.0,105820.0,106557.0,0.0,5364300,0.0,0.0
2019-11-18,106566.0,107519.0,106282.0,106347.0,0.0,4919800,0.0,0.0
2019-11-19,106269.0,106950.0,105367.0,105618.0,0.0,3610300,0.0,0.0
2019-11-21,105866.0,107497.0,105864.0,107497.0,0.0,5819400,0.0,0.0
2019-11-22,107497.0,108692.0,107157.0,108692.0,0.0,4796100,0.0,0.0
2019-11-25,108692.0,108915.0,108080.0,108424.0,0.0,4512400,0.0,0.0
2019-11-26,108424.0,108424.0,106414.0,107059.0,0.0,6904900,0.0,0.0
2019-11-27,107059.0,107991.0,106312.0,107708.0,0.0,4418200,0.0,0.0
2019-11-28,107708.0,108333.0,107148.0,108290.0,0.0,3666100,0.0,0.0
2019-11-29,108283.0,108708.0,107759.0,108233.0,0.0,4186600,0.0,0.0
2019-12-02,108246.0,109279.0,108245.0,109061.0,0.0,4708000,0.0,0.0
2019-12-03,108931.0,109198.0,108190.0,108956.0,0.0,5223100,0.0,0.0
2019-12-04,108962.0,110301.0,108962.0,110301.0,0.0,4889500,0.0,0.0
2019-12-05,110297.0,111073.0,110008.0,110622.0,0.0,4399100,0.0,0.0
2019-12-06,110623.0,111430.0,110623.0,111126.0,0.0,4968100,0.0,0.0
2019-12-09,111125.0,111453.0,110870.0,110977.0,0.0,4991500,0.0,0.0
2019-12-10,110973.0,111184.0,110133.0,110672.0,0.0,4758800,0.0,0.0
2019-12-11,110672.0,111227.0,110530.0,110964.0,0.0,5146100,0.0,0.0
2019-12-12,110963.0,112445.0,110963.0,112200.0,0.0,5682000,0.0,0.0
2019-12-13,112205.0,112829.0,111780.0,112565.0,0.0,7712100,0.0,0.0
2019-12-16,112565.0,113197.0,111896.0,111896.0,0.0,6078300,0.0,0.0
2019-12-17,111897.0,112695.0,111897.0,112616.0,0.0,5352500,0.0,0.0
2019-12-18,112618.0,114339.0,112300.0,114315.0,0.0,7940900,0.0,0.0
2019-12-19,114313.0,115132.0,113712.0,115131.0,0.0,5784600,0.0,0.0
2019-12-20,115133.0,115171.0,114526.0,115121.0,0.0,6887400,0.0,0.0
2019-12-23,115119.0,115863.0,114964.0,115863.0,0.0,3995200,0.0,0.0
2019-12-26,115864.0,117220.0,115673.0,117203.0,0.0,3788900,0.0,0.0
2019-12-27,117205.0,117803.0,115995.0,116534.0,0.0,3905900,0.0,0.0
2019-12-30,116530.0,117086.0,115790.0,115964.0,0.0,3667900,0.0,0.0
2020-01-02,115652.0,118573.0,115649.0,118573.0,0.0,5162700,0.0,0.0
2020-01-03,118564.0,118792.0,117341.0,117707.0,0.0,6834500,0.0,0.0
2020-01-06,117707.0,117707.0,116269.0,116878.0,0.0,6570000,0.0,0.0
2020-01-07,116872.0,117076.0,115965.0,116662.0,0.0,4854100,0.0,0.0
2020-01-08,116667.0,117335.0,115693.0,116247.0,0.0,5910500,0.0,0.0
2020-01-09,116248.0,116820.0,115411.0,115947.0,0.0,5953500,0.0,0.0
2020-01-10,115948.0,116745.0,114952.0,115503.0,0.0,4783400,0.0,0.0
2020-01-13,115503.0,117333.0,115503.0,117325.0,0.0,5685100,0.0,0.0
2020-01-14,117325.0,117705.0,116610.0,117632.0,0.0,5361700,0.0,0.0
2020-01-15,117632.0,117632.0,116188.0,116414.0,0.0,5569400,0.0,0.0
2020-01-16,116415.0,117106.0,115961.0,116704.0,0.0,5422700,0.0,0.0
2020-01-17,116710.0,118479.0,116710.0,118478.0,0.0,4947200,0.0,0.0
2020-01-20,118478.0,118862.0,117928.0,118862.0,0.0,3843500,0.0,0.0
2020-01-21,118861.0,118861.0,117026.0,117026.0,0.0,5085600,0.0,0.0
2020-01-22,117035.0,118401.0,117035.0,118391.0,0.0,5765700,0.0,0.0
2020-01-23,118391.0,119535.0,116906.0,119528.0,0.0,6572400,0.0,0.0
2020-01-24,119528.0,119593.0,118108.0,118376.0,0.0,4778700,0.0,0.0
2020-01-27,118347.0,118347.0,114376.0,114482.0,0.0,6097800,0.0,0.0
2020-01-28,114482.0,116797.0,114475.0,116479.0,0.0,5229400,0.0,0.0
2020-01-29,116494.0,117171.0,115164.0,115385.0,0.0,5097800,0.0,0.0
2020-01-30,115375.0,115528.0,112825.0,115528.0,0.0,6315600,0.0,0.0
2020-01-31,115518.0,115518.0,113148.0,113761.0,0.0,6219900,0.0,0.0
2020-02-03,113761.0,115299.0,113467.0,114629.0,0.0,5512200,0.0,0.0
2020-02-04,114631.0,116556.0,114631.0,115557.0,0.0,5829400,0.0,0.0
2020-02-05,115563.0,117701.0,115562.0,116028.0,0.0,7173800,0.0,0.0
2020-02-06,116033.0,117382.0,114723.0,115190.0,0.0,7382400,0.0,0.0
2020-02-07,115190.0,115190.0,113769.0,113770.0,0.0,6594100,0.0,0.0
2020-02-10,113771.0,114176.0,112134.0,112570.0,0.0,7486300,0.0,0.0
2020-02-11,112574.0,115576.0,112574.0,115371.0,0.0,6767900,0.0,0.0
