Price,Fechamento,Maxima,Minima,Abertura,Volume
Ticker,^BVSP,^BVSP,^BVSP,^BVSP,^BVSP
Date,,,,,
2020-01-02,118573.0,118573.0,115649.0,115652.0,5162700
2020-01-03,117707.0,118792.0,117341.0,118564.0,6834500
2020-01-06,116878.0,117707.0,116269.0,117707.0,6570000
2020-01-07,116662.0,117076.0,115965.0,116872.0,4854100
2020-01-08,116247.0,117335.0,115693.0,116667.0,5910500
2020-01-09,115947.0,116820.0,115411.0,116248.0,5953500
2020-01-10,115503.0,116745.0,114952.0,115948.0,4783400
2020-01-13,117325.0,117333.0,115503.0,115503.0,5685100
2020-01-14,117632.0,117705.0,116610.0,117325.0,5361700
2020-01-15,116414.0,117632.0,116188.0,117632.0,5569400
2020-01-16,116704.0,117106.0,115961.0,116415.0,5422700
2020-01-17,118478.0,118479.0,116710.0,116710.0,4947200
2020-01-20,118862.0,118862.0,117928.0,118478.0,3843500
2020-01-21,117026.0,118861.0,117026.0,118861.0,5085600
2020-01-22,118391.0,118401.0,117035.0,117035.0,5765700
2020-01-23,119528.0,119535.0,116906.0,118391.0,6572400
2020-01-24,118376.0,119593.0,118108.0,119528.0,4778700
2020-01-27,114482.0,118347.0,114376.0,118347.0,6097800
2020-01-28,116479.0,116797.0,114475.0,114482.0,5229400
2020-01-29,115385.0,117171.0,115164.0,116494.0,5097800
2020-01-30,115528.0,115528.0,112825.0,115375.0,6315600
2020-01-31,113761.0,115518.0,113148.0,115518.0,6219900
2020-02-03,114629.0,115299.0,113467.0,113761.0,5512200
2020-02-04,115557.0,116556.0,114631.0,114631.0,5829400
2020-02-05,116028.0,117701.0,115562.0,115563.0,7173800
2020-02-06,115190.0,117382.0,114723.0,116033.0,7382400
2020-02-07,113770.0,115190.0,113769.0,115190.0,6594100
2020-02-10,112570.0,114176.0,112134.0,113771.0,7486300
2020-02-11,115371.0,115576.0,112574.0,112574.0,6767900
2020-02-12,116674.0,117581.0,115371.0,115371.0,8159200
2020-02-13,115662.0,116660.0,114801.0,116660.0,5635700
2020-02-14,114381.0,115663.0,114132.0,115663.0,5335900
2020-02-17,115309.0,115696.0,114381.0,114381.0,0
2020-02-18,114977.0,115309.0,113532.0,115309.0,5548400
2020-02-19,116518.0,116545.0,114774.0,114982.0,6334100
2020-02-20,114586.0,116552.0,114379.0,116518.0,6793000
2020-02-21,113681.0,114585.0,112661.0,114585.0,5896200
2020-02-26,105718.0,113647.0,105053.0,113647.0,9369800
2020-02-27,102984.0,106656.0,102984.0,105711.0,11237700
2020-02-28,104172.0,104172.0,99951.0,102984.0,11228400
2020-03-02,106625.0,107220.0,103779.0,104260.0,8858400
2020-03-03,105537.0,108804.0,104405.0,106630.0,9385600
2020-03-04,107224.0,107809.0,105042.0,105540.0,8410500
2020-03-05,102233.0,107217.0,100536.0,107217.0,8598600
2020-03-06,97997.0,102231.0,96886.0,102231.0,11864200
2020-03-09,86067.0,97982.0,85880.0,97982.0,14645500
2020-03-10,92214.0,92230.0,86071.0,86071.0,13531700
2020-03-11,85171.0,92202.0,80796.0,92202.0,11786900
2020-03-12,72583.0,85103.0,68488.0,85103.0,12008700
2020-03-13,82678.0,83758.0,72621.0,72621.0,15766300
2020-03-16,71168.0,82565.0,70855.0,82565.0,12847800
2020-03-17,74617.0,77255.0,70783.0,71178.0,14945900
2020-03-18,66895.0,74576.0,63547.0,74576.0,16751500
2020-03-19,68332.0,70071.0,61691.0,66883.0,16144700
2020-03-20,67069.0,72247.0,66120.0,68344.0,15152400
2020-03-23,63570.0,67604.0,62161.0,67067.0,11962200
2020-03-24,69729.0,71535.0,63604.0,63604.0,11679900
2020-03-25,74956.0,76714.0,69360.0,69727.0,12951100
2020-03-26,77710.0,78846.0,74923.0,74956.0,12758000
2020-03-27,73429.0,77708.0,73057.0,77708.0,10301400
2020-03-30,74640.0,75430.0,73184.0,73431.0,9032200
2020-03-31,73020.0,75511.0,72385.0,74629.0,11141500
2020-04-01,70967.0,73011.0,69569.0,73011.0,10093500
2020-04-02,72253.0,73861.0,70957.0,70969.0,10540200
2020-04-03,69538.0,72241.0,67802.0,72241.0,10411300
2020-04-06,74073.0,75260.0,69556.0,69556.0,9685400
2020-04-07,76358.0,79855.0,74078.0,74078.0,11286500
2020-04-08,78625.0,79058.0,76115.0,76335.0,10206300
2020-04-09,77682.0,80428.0,77457.0,78640.0,10748700
2020-04-13,78836.0,78836.0,76405.0,77682.0,7651300
2020-04-14,79918.0,81668.0,78848.0,78848.0,8593600
2020-04-15,78831.0,80035.0,77546.0,79911.0,9758400
2020-04-16,77812.0,80167.0,77452.0,78837.0,9028400
2020-04-17,78990.0,79846.0,77754.0,77817.0,8317800
2020-04-20,78973.0,80106.0,76943.0,78989.0,8874700
2020-04-22,80687.0,81184.0,78973.0,78973.0,9848900
2020-04-23,79673.0,81934.0,78622.0,80690.0,10823500
2020-04-24,75331.0,79667.0,72041.0,79667.0,16529200
2020-04-27,78239.0,78563.0,75327.0,75334.0,10656900
2020-04-28,81312.0,81427.0,78243.0,78243.0,12939000
2020-04-29,83171.0,83598.0,81313.0,81313.0,11719700
2020-04-30,80506.0,83169.0,80168.0,83169.0,11804600
2020-05-04,78876.0,80502.0,77640.0,80501.0,8594200
2020-05-05,79471.0,81066.0,78886.0,78887.0,9154700
2020-05-06,79064.0,79996.0,78056.0,79473.0,9775900
2020-05-07,78119.0,80061.0,78061.0,79072.0,13808900
2020-05-08,80263.0,80557.0,78152.0,78152.0,10734400
2020-05-11,79065.0,80723.0,78994.0,80263.0,9781900
2020-05-12,77872.0,80344.0,77872.0,79065.0,10245400
2020-05-13,77772.0,78911.0,77152.0,77877.0,11575900
2020-05-14,79011.0,79011.0,75697.0,77770.0,13818900
2020-05-15,77557.0,79538.0,77426.0,79011.0,11718200
2020-05-18,81194.0,81420.0,77571.0,77576.0,11533100
2020-05-19,80742.0,82175.0,80647.0,81197.0,10740100
2020-05-20,81319.0,82290.0,80740.0,80747.0,9522800
2020-05-21,83027.0,83309.0,81317.0,81320.0,11395200
2020-05-22,82173.0,83027.0,81669.0,83027.0,9281200
2020-05-25,85663.0,85876.0,82193.0,82198.0,8764400
2020-05-26,85469.0,87333.0,85396.0,85668.0,12030800
2020-05-27,87946.0,87946.0,85468.0,85468.0,11212000
2020-05-28,86949.0,88091.0,86767.0,87946.0,10117000
2020-05-29,87403.0,87410.0,85384.0,86951.0,16550900
2020-06-01,88620.0,89019.0,86837.0,87395.0,9849400
2020-06-02,91046.0,91046.0,88622.0,88622.0,11827300
2020-06-03,93002.0,93710.0,91048.0,91048.0,15137900
2020-06-04,93829.0,94132.0,92221.0,92993.0,11488000
2020-06-05,94637.0,97356.0,93839.0,93839.0,13320300
2020-06-08,97645.0,97693.0,94635.0,94640.0,11096500
2020-06-09,96747.0,97644.0,95386.0,97644.0,11278800
2020-06-10,94686.0,97646.0,94665.0,96747.0,11739600
2020-06-12,92795.0,94703.0,90811.0,94677.0,12785600
2020-06-15,92376.0,93112.0,90148.0,92780.0,13317500
2020-06-16,93531.0,95216.0,92387.0,92387.0,12034200
2020-06-17,95547.0,96611.0,93531.0,93531.0,11134700
2020-06-18,96125.0,97110.0,94698.0,95547.0,10008500
2020-06-19,96572.0,97540.0,95874.0,96138.0,13134400
2020-06-22,95336.0,96870.0,94869.0,96572.0,8264700
2020-06-23,95975.0,97486.0,95344.0,95344.0,9752700
2020-06-24,94377.0,95974.0,93259.0,95974.0,9962700
2020-06-25,95983.0,96260.0,94152.0,94382.0,8697900
2020-06-26,93834.0,95979.0,93514.0,95979.0,8439100
2020-06-29,95735.0,95735.0,93825.0,93837.0,8906800
2020-06-30,95056.0,96257.0,94806.0,95728.0,10144500
2020-07-01,96203.0,96852.0,95062.0,95062.0,10163300
2020-07-02,96235.0,97864.0,96052.0,96206.0,10062900
2020-07-03,96765.0,96765.0,95803.0,96237.0,5351600
2020-07-06,98937.0,99257.0,96768.0,96776.0,9489400
2020-07-07,97761.0,98938.0,97272.0,98937.0,8951400
2020-07-08,99770.0,99973.0,97765.0,97765.0,9142700
2020-07-09,99160.0,100191.0,98861.0,99770.0,0
2020-07-10,100032.0,100101.0,98739.0,99160.0,9147200
2020-07-13,98697.0,100858.0,98697.0,100027.0,10382300
2020-07-14,100440.0,100632.0,98289.0,98699.0,10019400
2020-07-15,101791.0,102114.0,100444.0,100444.0,9285600
2020-07-16,100553.0,101792.0,100160.0,101791.0,8127100
2020-07-17,102888.0,103017.0,100554.0,100554.0,10429400
2020-07-20,104426.0,104439.0,102744.0,102888.0,8931800
2020-07-21,104310.0,105449.0,103732.0,104426.0,11105800
2020-07-22,104290.0,104980.0,103277.0,104312.0,10833700
2020-07-23,102293.0,104949.0,102119.0,104291.0,10366600
2020-07-24,102382.0,102694.0,100859.0,102292.0,9795200
2020-07-27,104477.0,104585.0,102381.0,102381.0,9622400
2020-07-28,104109.0,104663.0,103592.0,104477.0,9087100
2020-07-29,105605.0,105704.0,104112.0,104112.0,9238300
2020-07-30,105009.0,105607.0,103920.0,105605.0,9591700
2020-07-31,102912.0,105462.0,102642.0,105010.0,12929300
2020-08-03,102830.0,103863.0,102304.0,102913.0,10901000
2020-08-04,101216.0,103012.0,100005.0,102826.0,12029800
2020-08-05,102802.0,103763.0,101220.0,101220.0,10922100
2020-08-06,104126.0,104523.0,102733.0,102733.0,9686600
2020-08-07,102776.0,104126.0,101957.0,104116.0,10337100
2020-08-10,103444.0,103722.0,101282.0,102776.0,8259500
2020-08-11,102174.0,104409.0,102174.0,103449.0,9360900
2020-08-12,102118.0,103116.0,100698.0,102176.0,10114200
2020-08-13,100461.0,103237.0,100187.0,102118.0,10721300
2020-08-14,101353.0,101717.0,100445.0,100469.0,8576300
2020-08-17,99595.0,101689.0,98513.0,101348.0,10816200
2020-08-18,102065.0,102247.0,99597.0,99597.0,9418700
2020-08-19,100854.0,102334.0,100800.0,102072.0,10025800
2020-08-20,101468.0,101749.0,99131.0,100853.0,9405000
2020-08-21,101521.0,101566.0,100412.0,101460.0,9100200
2020-08-24,102298.0,102515.0,101525.0,101525.0,7723000
2020-08-25,102118.0,102708.0,101623.0,102293.0,8170900
2020-08-26,100627.0,102521.0,99359.0,102119.0,9861200
2020-08-27,100624.0,101548.0,99857.0,100625.0,7360600
2020-08-28,102143.0,102347.0,100631.0,100631.0,7665700
2020-08-31,99369.0,102142.0,99369.0,102142.0,12226100
2020-09-01,102168.0,102238.0,99382.0,99382.0,9384700
2020-09-02,101911.0,102824.0,100872.0,102168.0,7557900
2020-09-03,100721.0,103226.0,99751.0,101911.0,12611000
2020-09-04,101242.0,101582.0,98961.0,100733.0,11327400
