Date,Abertura,Maxima,Minima,Fechamento,Fechamento_Ajustado,Volume,Dividendos,Desdobramentos
2023-01-02,1.559199638588617,1.56628690276055,1.5025013562394465,1.545025110244751,0.0,915200,0.0,0.0
2023-01-03,1.5521123871054598,1.5591996513353323,1.502501368522644,1.502501368522644,0.0,745400,0.0,0.0
2023-01-04,1.5166759490966797,1.5308504764642816,1.4741521980201784,1.5166759490966797,0.0,1465300,0.0,0.0
2023-01-05,1.530850581900885,1.545025110244751,1.4883268278955806,1.545025110244751,0.0,1130300,0.0,0.0
2023-01-06,1.5450250957615475,1.5804614162890291,1.5095887752340658,1.5733741521835327,0.0,1157900,0.0,0.0
2023-01-09,1.5591996725411656,1.587548729846216,1.5308506152361152,1.537937879562378,0.0,1989300,0.0,0.0
2023-01-10,1.54502514672201,1.6229850544538669,1.5379378823827503,1.5875487327575684,0.0,1894900,0.0,0.0
2023-01-11,1.5875485042986948,1.6513338741728898,1.5875485042986948,1.6371593475341797,0.0,946000,0.0,0.0
2023-01-12,1.6371595640684802,1.6371595640684802,1.5450251287309635,1.5662869215011597,0.0,1901000,0.0,0.0
2023-01-13,1.566286971290111,1.573374235772132,1.5237633843979839,1.5308506488800049,0.0,1489100,0.0,0.0
2023-01-16,1.5308504764642816,1.5450250038318838,1.5095886854128786,1.5166759490966797,0.0,754000,0.0,0.0
2023-01-17,1.5166759490966797,1.5379377401480827,1.5166759490966797,1.5166759490966797,0.0,592000,0.0,0.0
2023-01-18,1.5237633301859697,1.5450251228755874,1.4812395758330263,1.502501368522644,0.0,1687100,0.0,0.0
2023-01-19,1.5025013496893442,1.5095887828040864,1.4670650289841627,1.4812395572662354,0.0,1595100,0.0,0.0
2023-01-20,1.481239710668168,1.5025015052932167,1.4599779160431194,1.4741524457931519,0.0,1263700,0.0,0.0
2023-01-23,1.4812395758330263,1.5095888017262244,1.4812395758330263,1.502501368522644,0.0,695600,0.0,0.0
2023-01-24,1.5025012527553827,1.5237632127804805,1.4954139890715816,1.5166759490966797,0.0,516400,0.0,0.0
