Date,Abertura,Maxima,Minima,Fechamento,Fechamento_Ajustado,Volume,Dividendos,Desdobramentos
2023-01-02,7.574014177326146,7.740272260097492,7.1306571076104515,7.327704429626465,0.0,514861,0.0,0.0
2023-01-03,7.204546932682052,7.40775190113287,7.044445453268652,7.10602331161499,0.0,389693,0.0,0.0
2023-01-04,7.112183463181952,7.309231384178577,7.056764497975611,7.087552547454834,0.0,214660,0.0,0.0
2023-01-05,7.167604349909281,7.327705318467325,7.069080081770748,7.284601211547852,0.0,245674,0.0,0.0
2023-01-06,7.284599487118809,7.4385426896751,7.167602653176029,7.272284030914307,0.0,263511,0.0,0.0
2023-01-09,7.186077369313574,7.284601039951544,7.087553103495882,7.2168660163879395,0.0,226924,0.0,0.0
2023-01-10,7.155286358443182,7.407753797228766,7.142971497837099,7.4015960693359375,0.0,292092,0.0,0.0
2023-01-11,7.327701501978246,7.5678528297372205,7.327701501978246,7.487802982330322,0.0,249728,0.0,0.0
2023-01-12,7.493962657744652,7.524751299961534,7.241495791566219,7.309230804443359,0.0,278106,0.0,0.0
2023-01-13,7.309230619745242,7.315388348033018,7.161445140838623,7.161445140838623,0.0,134695,0.0,0.0
2023-01-16,7.149131708999235,7.389283180236816,7.149131708999235,7.389283180236816,0.0,201688,0.0,0.0
2023-01-17,7.389279783191722,7.389279783191722,7.223020553588867,7.223020553588867,0.0,161958,0.0,0.0
2023-01-18,7.223022444625793,7.463175058692139,7.216865310992458,7.327704429626465,0.0,238782,0.0,0.0
2023-01-19,7.247652721911121,7.420069694519043,7.198390899788732,7.420069694519043,0.0,194086,0.0,0.0
2023-01-20,7.389281857414796,7.469332333496765,7.278442736685915,7.413912773132324,0.0,242431,0.0,0.0
2023-01-23,7.413913015690011,7.684853692626751,7.413913015690011,7.524752140045166,0.0,338714,0.0,0.0
2023-01-24,7.463172997947792,7.623273902878462,7.376964818369739,7.481645584106445,0.0,289153,0.0,0.0
2023-01-25,7.395438132749423,7.635590108972441,7.395438132749423,7.512434959411621,0.0,171890,0.0,0.0
2023-01-26,7.5124353575511575,7.63559051363888,7.450858077097091,7.5740132331848145,0.0,134391,0.0,0.0
2023-01-27,7.623273801410741,7.623273801410741,7.340017762816419,7.358490943908691,0.0,213140,0.0,0.0
2023-01-30,7.358492003804451,7.413911555063737,7.247652901285881,7.303072452545166,0.0,182330,0.0,0.0
2023-01-31,7.303072671425564,7.450858145879603,7.259968574709803,7.272284030914307,0.0,198140,0.0,0.0
2023-02-01,7.315390419856022,7.4508604805541445,7.229182199411762,7.389283180236816,0.0,254491,0.0,0.0
2023-02-02,7.4077547181532495,7.666379916983683,7.303073330961265,7.340019702911377,0.0,234120,0.0,0.0
2023-02-03,7.290757434881915,7.321546076320794,7.124498771111968,7.161445140838623,0.0,317835,0.0,0.0
2023-02-06,7.1306561753563535,7.284599375555,7.112182396152929,7.247653007507324,0.0,136620,0.0,0.0
2023-02-07,7.235338636997222,7.247654094860781,7.050606173864155,7.087552547454834,0.0,188005,0.0,0.0
2023-02-08,7.149129355049852,7.3523343791889815,7.11218239184497,7.1676025390625,0.0,377126,0.0,0.0
2023-02-09,7.259968607119754,7.3092304321576815,6.847400227247513,6.908977508544922,0.0,244863,0.0,0.0
2023-02-10,6.835084952950405,7.013659668646474,6.779665398307367,6.976712703704834,0.0,312363,0.0,0.0
2023-02-13,6.976713037269234,6.976713037269234,6.835085279743424,6.890504837036133,0.0,203208,0.0,0.0
2023-02-14,6.902819292819759,7.044446422408595,6.761190972871912,6.804295063018799,0.0,261789,0.0,0.0
2023-02-15,6.835085391998292,6.933609051025638,6.687299903457273,6.835085391998291,0.0,345200,0.0,0.0
2023-02-16,6.816612181778407,6.97055538502193,6.785822945950103,6.908977508544922,0.0,165404,0.0,0.0
2023-02-17,6.908978155303211,7.167603356142164,6.804296767298255,7.136814117431641,0.0,323511,0.0,0.0
2023-02-22,7.136814257038845,7.136814257038845,6.755035069787874,6.761192798614502,0.0,421619,0.0,0.0
2023-02-23,6.718086882725025,6.896660970476413,6.656509611086616,6.804295063018799,0.0,167634,0.0,0.0
2023-02-24,6.791980336823018,6.84739988723882,6.711929875111304,6.75503396987915,0.0,197025,0.0,0.0
2023-02-27,6.724244233865807,6.798136955699781,6.625720604753842,6.748875141143799,0.0,218309,0.0,0.0
2023-02-28,6.798136058630868,7.1306538581848145,6.724243346547634,7.1306538581848145,0.0,1270634,0.0,0.0
2023-03-01,7.087552403115279,7.118341642326824,6.791981420409222,6.945925235748291,0.0,626144,0.0,0.0
2023-03-02,7.0813947164046445,7.315388392771141,6.687299508397244,6.718088150024414,0.0,1303674,0.0,0.0
2023-03-03,6.773508337167309,6.872031395733314,6.687299544960264,6.699615001678467,0.0,289052,0.0,0.0
2023-03-06,6.705773606226268,6.81045500200886,6.564145835461584,6.736562252044678,0.0,320065,0.0,0.0
